603 "The Matrix" 1999 463517383.00 .............................................$
862 'Toy Story' 1995 373554033.00 ..............................................$
605 "The Matrix Revolutions" 2003 424988211.00 .................................$
604 "The Matrix Reloaded" 2003 738599701.00 ....................................$
858 'Sleepless in Seattle' 1993 227799884.00 ...................................$
318 'The Million Dollar Hotel' 2000 0.00 .......................................$
527 "Once Were Warriors" 1994 2201126.00 .......................................$
608 'Men in Black II' 2002 441818803.00 ........................................$
296 "Terminator 3: Rise of the Machines" 2003 435000000.00 .....................$
58559 'Confession of a Child of the Century' 2012 0.00 .........................$
912 "The Thomas Crown Affair" 1968 0.00 ........................................$
4226 "Shriek If You Know What I Did Last Friday the Thirteenth" 2000 0.00 ......$
111 'Scarface' 1983 65884703.00 ................................................$
260 "The 39 Steps" 1935 0.00 ...................................................$
750 "Murder She Said" 1961 0.00 ................................................$
1213 'The Talented Mr. Ripley' 1999 128798265.00 ...............................$
2959 "License to Wed" 2007 69307224.00 .........................................$
1089 "Point Break" 1991 83531958.00 ............................................$
293 "A River Runs Through It" 1992 43440294.00 .................................$
2502 "The Bourne Supremacy" 2004 288500217.00 ..................................$
150 '48 Hrs.' 1982 78868508.00 .................................................$
924 'Dawn of the Dead' 2004 102356381.00 .......................................$
4886 'And Then There Were None' 1945 0.00 ......................................$
364 "Batman Returns" 1992 280000000.00 .........................................$
595 "To Kill a Mockingbird" 1962 13129846.00 ...................................$
8844 "Jumanji" 1995 262797249.00 ...............................................$
15602 'Grumpier Old Men' 1995 0.00 .............................................$
31357 "Waiting to Exhale" 1995 81452156.00 .....................................$
11862 'Father of the Bride Part II' 1995 76578911.00 ...........................$
949 "Heat" 1995 187436818.00 ...................................................$
11860 'Sabrina' 1995 0.00 ......................................................$
45325 "Tom and Huck" 1995 0.00 .................................................$
9091 'Sudden Death' 1995 64350171.00 ...........................................$
710 "GoldenEye" 1995 352194034.00 ..............................................$
9087 'The American President' 1995 107879496.00 ................................$
12110 "Dracula: Dead and Loving It" 1995 0.00 ..................................$
21032 'Balto' 1995 11348324.00 .................................................$
10858 "Nixon" 1995 13681765.00 .................................................$
1408 'Cutthroat Island' 1995 10017322.00 .......................................$
524 "Casino" 1995 116112375.00 .................................................$
4584 'Sense and Sensibility' 1995 135000000.00 .................................$
5 "Four Rooms" 1995 4300000.00 .................................................$
9273 'Ace Ventura: When Nature Calls' 1995 212385533.00 ........................$
11517 "Money Train" 1995 35431113.00 ...........................................$
8012 'Get Shorty' 1995 115101622.00 ............................................$
1710 "Copycat" 1995 0.00 .......................................................$
9691 'Assassins' 1995 30303072.00 ..............................................$
12665 "Powder" 1995 0.00 .......................................................$
451 'Leaving Las Vegas' 1995 49800000.00 .......................................$
16420 "Othello" 1995 0.00 ......................................................$
9263 'Now and Then' 1995 27400000.00 ...........................................$
17015 "Persuasion" 1995 0.00 ...................................................$
902 'The City of Lost Children' 1995 1738611.00 ................................$
37557 "Shanghai Triad" 1995 0.00 ...............................................$
9909 'Dangerous Minds' 1995 180000000.00 .......................................$
63 "Twelve Monkeys" 1995 168840000.00 ..........................................$
78802 'Wings of Courage' 1996 0.00 .............................................$
9598 "Babe" 1995 254134910.00 ..................................................$
47018 'Carrington' 1995 0.00 ...................................................$
687 "Dead Man Walking" 1995 39363635.00 ........................................$
139405 'Across the Sea of Time' 1995 0.00 ......................................$
33689 "It Takes Two" 1995 0.00 .................................................$
9603 'Clueless' 1995 0.00 ......................................................$
31174 'Richard III' 1995 0.00 ..................................................$
11443 "Dead Presidents" 1995 0.00 ..............................................$
35196 'Restoration' 1995 0.00 ..................................................$
9312 "Mortal Kombat" 1995 122195920.00 .........................................$
577 'To Die For' 1995 21284514.00 ..............................................$
11861 "How To Make An American Quilt" 1995 23574130.00 .........................$
807 'Se7en' 1995 327311859.00 ..................................................$
